trials.thisRepN	num_distr	target.started	mouse.time	mouse.clicked_name	mouse.leftButton
0	15	38.3541888	0.1395121	target	1
1	20	41.8927533	0.1257177	target	1
2	15	44.6777941	0.112209	target	1
3	20	46.5142809	0.1389497	target	1
4	20	50.8743146	0.1353476	target	1
5	20	53.0829378	0.1284782	target	1
6	20	55.5780212	0.1369632	target	1
7	20	58.4616889	0.1434264	target	1
8	15	60.3688461	0.0991428	target	1
9	20	65.2421164	0.1244881	target	1
10	15	68.469674	0.096866	target	1
11	20	71.0381829	0.2450303	target	1
12	20	72.5647677	0.1396484	target	1
13	20	74.1189746	0.125402	target	1
14	20	75.5544277	0.1415643	target	1
15	15	79.7491757	0.1003378	target	1
16	20	81.7104199	0.1435806	target	1
17	20	84.6937873	0.1328946	target	1
18	15	86.4137236	0.1116648	target	1
19	15	88.1720782	0.0972693	target	1
20	15	90.891436	0.097095	target	1
21	15	92.653502	0.0932454	target	1
22	15	94.667285	0.1003289	target	1
23	15	96.7495738	0.0960019	target	1
24	15	100.2783781	0.1073868	target	1
25	15	101.9368516	0.0964021	target	1
26	15	103.5146459	0.0968547	target	1
27	15	105.8959344	0.0940917	target	1
28	15	107.6114433	0.1108165	target	1
29	15	110.0677591	0.0981173	target	1
30	15	112.9859469	0.1077903	target	1
31	15	115.2004789	0.1113348	target	1
32	20	118.0103876	0.1280227	target	1
33	20	119.8982925	0.1418872	target	1
34	15	121.6507476	0.0967166	target	1
35	15	123.5189214	0.1125841	target	1
36	20	124.9938314	0.1291474	target	1
37	20	127.2780933	0.1393847	target	1
38	20	130.3743881	0.1547856	target	1
39	20	132.7073932	0.1388501	target	1
40	20	135.482846	0.2320191	target	1
41	15	139.6824464	0.110891	target	1
42	20	143.9410207	0.1288508	target	1
43	15	146.5605181	0.0968575	target	1
44	20	149.9628739	0.1415319	target	1
45	20	151.7301738	0.128327	target	1
46	15	154.3647408	0.1028319	target	1
47	20	155.8859872	0.1313012	target	1
48	15	157.3487533	0.0969033	target	1
49	15	159.6348197	0.102978	target	1
50	15	165.0333556	0.1081298	target	1
51	15	167.4910446	0.0963299	target	1
52	20	169.8642364	0.1421703	target	1
53	15	171.4829696	0.1096077	target	1
54	15	173.2272577	0.1000714	target	1
55	15	176.0604142	0.0997681	target	1
56	20	178.4746818	0.1244043	target	1
57	20	182.0647751	0.1458252	target	1
58	20	184.650198	0.152997	target	1
59	15	186.7787579	0.1182641	target	1
60	20	189.5239347	0.1409354	target	1
61	20	192.0887854	0.1655328	target	1
62	20	195.4933068	0.1249924	target	1
63	15	196.9752468	0.1019426	target	1
64	15	199.1064829	0.0970292	target	1
65	15	201.1063825	0.1162115	target	1
66	15	204.0601906	0.1005778	target	1
67	20	205.9291366	0.1439327	target	1
68	15	207.8199292	0.1211683	target	1
69	15	209.1377497	0.1171518	target	1
70	15	211.472225	0.1152333	target	1
71	15	214.5429709	0.1130337	target	1
72	20	216.0829962	0.1480293	target	1
73	20	218.9917895	0.141824	target	1
74	15	221.341709	0.116038	target	1
75	15	223.7672413	0.1103308	target	1
76	15	224.8772513	0.1081623	target	1
77	15	227.5921551	0.1228795	target	1
78	20	229.081233	0.1375007	target	1
79	20	230.2768488	0.1460166	target	1
80	20	231.6925494	0.1489378	target	1
81	15	233.5579875	0.1171167	target	1
82	15	235.125637	0.1111754	target	1
83	20	237.8813503	0.1406716	target	1
84	15	241.519933	0.13742	target	1
85	15	244.3068619	0.102534	target	1
86	20	247.4294578	0.1288976	target	1
87	15	249.99474	0.0989211	target	1
88	15	254.0490228	0.0940441	target	1
89	20	258.379734	0.1376374	target	1
90	20	261.1689664	0.1265503	target	1
91	15	265.3860009	0.1019229	target	1
92	20	272.3969281	0.1298442	target	1
93	20	275.3259913	0.1494204	target	1
94	15	278.1993769	0.0970229	target	1
95	15	280.349396	0.1023056	target	1
96	15	283.7982645	0.0976402	target	1
97	20	288.1830238	0.1319698	target	1
98	20	290.7799071	0.1383498	target	1
99	15	292.6501955	0.094753	target	1
100	20	295.4462223	0.1231702	target	1
101	15	297.8448398	0.0951311	target	1
102	15	300.666261	0.0957219	target	1
103	15	302.8582046	0.1087316	target	1
104	20	304.6480139	0.1268125	target	1
105	20	309.5885701	0.1239508	target	1
106	15	314.418206	0.0944636	target	1
107	15	316.3026999	0.0974656	target	1
108	20	317.6262549	0.1249625	target	1
109	20	320.0433568	0.1243249	target	1
110	15	323.1029443	0.0936021	target	1
111	20	325.8474545	0.1375731	target	1
112	20	330.314571	0.1401138	target	1
113	20	331.6473435	0.1231209	target	1
114	15	334.2341454	0.0990712	target	1
115	15	336.0473161	0.0935005	target	1
116	15	338.4274373	0.0969074	target	1
117	20	341.1026748	0.1245345	target	1
118	20	343.0851611	0.1283253	target	1
119	15	345.4904606	0.1098276	target	1
120	15	348.2646188	0.0939747	target	1
121	15	350.8682447	0.0961174	target	1
122	20	352.7888867	0.1295505	target	1
123	20	354.2622639	0.1257918	target	1
124	20	356.6152954	0.1443798	target	1
125	20	358.1391978	0.1317349	target	1
126	15	361.3514918	0.1021619	target	1
127	20	365.4907675	0.1238043	target	1
128	20	367.519597	0.1257995	target	1
129	15	370.0489615	0.0953996	target	1
130	20	373.4903129	0.1299218	target	1
131	15	375.5212623	0.0968343	target	1
132	15	378.0825732	0.096318	target	1
133	15	381.0305335	0.0954378	target	1
134	15	384.6947856	0.1196747	target	1
135	15	387.2956905	0.0968697	target	1
136	20	389.2960391	0.1252147	target	1
137	15	392.6134915	0.097515	target	1
138	20	395.4039587	0.1378752	target	1
139	20	397.6321592	0.1540861	target	1
140	20	402.3416334	0.1331636	target	1
141	20	404.3307522	0.1260336	target	1
142	20	406.4728074	0.1281024	target	1
143	15	409.5663365	0.0967289	target	1
144	15	411.9911972	0.1068251	target	1
145	15	414.1487095	0.1068601	target	1
146	20	416.7162743	0.1243196	target	1
147	15	418.1766868	0.0948574	target	1
148	15	420.1127635	0.0989231	target	1
149	15	422.9302772	0.0955009	target	1
150	15	424.9590355	0.0996367	target	1
151	15	426.7614857	0.0968001	target	1
152	15	428.3052028	0.095313	target	1
153	15	429.8665737	0.0925999	target	1
154	15	431.8906527	0.0947524	target	1
155	20	433.9496772	0.1293462	target	1
156	20	437.9166722	0.2550459	target	1
157	20	439.7694011	0.1291979	target	1
158	20	442.0645302	0.1226664	target	1
159	20	444.7594198	0.1235695	target	1
160	15	447.1336599	0.095522	target	1
161	20	449.4269287	0.1351296	target	1
162	20	451.6032637	0.1292289	target	1
163	15	452.9468276	0.0961735	target	1
164	20	455.2792832	0.1286475	target	1
165	15	456.990073	0.0968546	target	1
166	15	458.8998546	0.094154	target	1
167	20	462.0357748	0.1276673	target	1
168	20	466.0834216	0.1291145	target	1
169	15	468.5670535	0.0978935	target	1
170	15	472.7500403	0.0978993	target	1
171	15	476.1578203	0.0932586	target	1
172	20	478.1218422	0.1264748	target	1
173	20	482.0149338	0.1407732	target	1
174	20	483.8384061	0.1276641	target	1
175	20	486.608828	0.1248717	target	1
176	15	488.5803624	0.098225	target	1
177	15	490.5577426	0.095184	target	1
178	20	492.1139219	0.126531	target	1
179	20	496.8913052	0.1327464	target	1
180	20	501.2721438	0.1473886	target	1
181	15	503.4673741	0.1010855	target	1
182	20	506.0818087	0.1242424	target	1
183	15	507.6729382	0.103715	target	1
184	20	509.7138186	0.1273688	target	1
185	15	512.0602565	0.0950722	target	1
186	15	514.5747296	0.0957201	target	1
187	15	517.5679101	0.0960466	target	1
188	20	519.9685361	0.1257901	target	1
189	15	522.4994956	0.0947712	target	1
190	20	524.48566	0.1277064	target	1
191	15	526.2717388	0.094736	target	1
192	20	530.0053198	0.1268543	target	1
193	15	531.9941246	0.0971177	target	1
194	15	533.8962197	0.0973491	target	1
195	20	535.8884975	0.1264711	target	1
196	20	539.1623586	0.1251468	target	1
197	20	541.3406596	0.1286239	target	1
198	15	544.7039854	0.0957055	target	1
199	15	547.1924054	0.0910441	target	1
200	20	549.7053291	0.1276572	target	1
201	15	553.1654386	0.1078087	target	1
202	15	554.9159069	0.096938	target	1
203	15	557.9949917	0.0970945	target	1
204	20	561.3231488	0.1289727	target	1
205	15	563.3537515	0.0969723	target	1
206	20	565.3994753	0.1288692	target	1
